Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_footprint,-4.16333634234434E-17,0.000119875147478034,0.272443066440477,0,0,0,852.50356441445,115.580060503453,-0.254469004940776,2.30703923268823E-15,82.6481598842417,-0.0112471572237137,189.964310027824,0,0,0,0,0,0,package://agv_real/meshes/base_footprint.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agv_real/meshes/base_footprint.STL,,底盘-1,base_foot_print,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link,-4.16333634234434E-17,0.000119875147478033,-0.120056933559523,0,0,0,852.503564414451,115.580060503453,-0.254469004940776,2.4135092897632E-15,82.6481598842417,-0.0112471572237136,189.964310027824,0,0,0,0,0,0,package://agv_real/meshes/base_link.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agv_real/meshes/base_link.STL,,底盘-1,base_link,Axis_foot2base,foot2base,fixed,0,0,0.3925,0,0,0,base_footprint,0,0,0,,,,,,,,,,,,
link_turn_1,0.00977957605544538,0,-0.0221025781959049,0,0,0,1.51073323776649,0.00254264312406574,1.1275177792891E-19,0.000824346714844698,0.00283404681054336,-2.1574660967174E-19,0.00237535494219059,0,0,0,0,0,0,package://agv_real/meshes/link_turn_1.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agv_real/meshes/link_turn_1.STL,,转向1-1,turn_1,turn_axis_1,joint_turn_1,continuous,0.30003,0.28496,-0.241,0,0,0,base_link,0,0,1,3,4,-6.28,6.28,,,,,,,,
link_wheel_1,0,0,5.55111512312578E-17,0,0,0,1.61428775009303,0.0019531200226386,-1.03817629223929E-22,-1.2831782859717E-20,0.0019531200226386,6.23742612149849E-20,0.00323362014940511,0,0,0,0,0,0,package://agv_real/meshes/link_wheel_1.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agv_real/meshes/link_wheel_1.STL,,行走轮1-1,wheel_1,wheel_axis_1,joint_wheel_1,continuous,0.0625,0,-0.089,1.5708,0,3.1416,link_turn_1,0,0,1,,,,,,,,,,,,
link_turn_2,0.00977957605544538,5.55111512312578E-17,-0.022102578195905,0,0,0,1.51073323776649,0.00254264312406574,9.05562260497264E-19,0.000824346714844697,0.00283404681054336,-1.385927775418E-18,0.00237535494219059,0,0,0,0,0,0,package://agv_real/meshes/link_turn_2.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agv_real/meshes/link_turn_2.STL,,转向2-1,turn_2,turn_axis_2,joint_turn_2,continuous,-0.30003,0.28496,-0.241,0,0,0,base_link,0,0,1,3,4,-6.28,6.28,,,,,,,,
link_wheel_2,-5.55111512312578E-17,0,5.55111512312578E-17,0,0,0,1.61428775009303,0.0019531200226386,-1.42089143883198E-34,-1.23558270378388E-20,0.0019531200226386,1.87050615219907E-21,0.00323362014940511,0,0,0,0,0,0,package://agv_real/meshes/link_wheel_2.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agv_real/meshes/link_wheel_2.STL,,行走轮2-1,wheel_2,wheel_axis_2,joint_wheel_2,continuous,0.0625,0,-0.089,1.5708,0,3.1416,link_turn_2,0,0,1,,,,,,,,,,,,
link_turn_3,0.00977957605544538,0,-0.022102578195905,0,0,0,1.51073323776649,0.00254264312406574,-1.26097210048081E-19,0.000824346714844698,0.00283404681054336,2.16794722339323E-19,0.00237535494219059,0,0,0,0,0,0,package://agv_real/meshes/link_turn_3.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agv_real/meshes/link_turn_3.STL,,转向3-1,turn_3,turn_axis_3,joint_turn_3,continuous,-0.30003,-0.28496,-0.241,0,0,0,base_link,0,0,1,3,4,-6.28,6.28,,,,,,,,
link_wheel_3,0,2.77555756156289E-17,5.55111512312578E-17,0,0,0,1.61428775009303,0.0019531200226386,8.25422893665097E-35,-1.23558270378389E-20,0.0019531200226386,3.42695163846761E-20,0.00323362014940511,0,0,0,0,0,0,package://agv_real/meshes/link_wheel_3.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agv_real/meshes/link_wheel_3.STL,,行走轮3-1,wheel_3,wheel_axis_3,joint_wheel_3,continuous,0.0625,0,-0.089,1.5708,0,3.1416,link_turn_3,0,0,1,,,,,,,,,,,,
link_turn_4,0.00977957605544538,-5.55111512312578E-17,-0.0221025781959049,0,0,0,1.51073323776649,0.00254264312406573,1.97818720467024E-19,0.000824346714844697,0.00283404681054336,-4.17435819027717E-19,0.00237535494219059,0,0,0,0,0,0,package://agv_real/meshes/link_turn_4.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agv_real/meshes/link_turn_4.STL,,转向4-1,turn_4,turn_axis_4,joint_turn_4,continuous,0.30003,-0.28496,-0.241,0,0,0,base_link,0,0,1,3,4,-6.28,6.28,,,,,,,,
link_wheel_4,0,2.77555756156289E-17,1.66533453693773E-16,0,0,0,1.61428775009303,0.0019531200226386,-1.44141714161091E-33,-1.23558270378386E-20,0.0019531200226386,-3.24343282116005E-20,0.00323362014940511,0,0,0,0,0,0,package://agv_real/meshes/link_wheel_4.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agv_real/meshes/link_wheel_4.STL,,行走轮4-1,wheel_4,wheel_axis_4,joint_wheel_4,continuous,0.0625,0,-0.089,1.5708,0,3.1416,link_turn_4,0,0,1,,,,,,,,,,,,
link_laser_1,-0.4,-0.499880124852522,-0.150056933559523,0,0,0,852.50356441445,115.580060503453,-0.254469004940776,2.34356582852436E-15,82.6481598842417,-0.0112471572237137,189.964310027824,0,0,0,0,0,0,package://agv_real/meshes/link_laser_1.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agv_real/meshes/link_laser_1.STL,,底盘-1,laser_1,Axis_joint_laser_1,joint_laser_1,fixed,0.4,0.5,0.03,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_laser_2,0.4,0.500119875147478,-0.150056933559523,0,0,0,852.50356441445,115.580060503453,-0.254469004940776,2.28324643131939E-15,82.6481598842417,-0.0112471572237137,189.964310027824,0,0,0,0,0,0,package://agv_real/meshes/link_laser_2.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agv_real/meshes/link_laser_2.STL,,底盘-1,laser_2,Axis_joint_laser_2,joint_laser_2,fixed,-0.4,-0.5,0.03,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_camera,3.46944695195361E-17,-0.110056933559523,-0.639880124852522,0,0,0,852.50356441445,115.580060503453,-2.30950815536693E-15,0.254469004940776,189.964310027824,-0.0112471572237136,82.6481598842417,0,0,0,0,0,0,package://agv_real/meshes/link_camera.STL,0.666666666666667,0.698039215686274,0.768627450980392,1,0,0,0,0,0,0,package://agv_real/meshes/link_camera.STL,,底盘-1,camera,Axis_joint_camera,joint_camera,fixed,0,0.64,-0.01,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
